step,ns,e_pot,e_kin,e_tot,T,time_cost_so_far
3900,0.0078,-406756.8125,9.946615219116211,-406746.8658847809,158.90045924706067,339.6132502555847
3950,0.007899999999999999,-406757.90625,10.782952308654785,-406747.12329769135,172.26122013762196,344.0659682750702
4000,0.008,-406758.25,11.052168846130371,-406747.19783115387,176.5620431311121,348.49346804618835
4050,0.0081,-406759.625,12.14276123046875,-406747.48223876953,193.98461622810512,352.8709223270416
4100,0.008199999999999999,-406756.96875,9.8910551071167,-406747.0776948929,158.01286813007715,357.26604771614075
4150,0.0083,-406758.0,10.996570587158203,-406747.00342941284,175.67384260365674,361.61228585243225
4200,0.0084,-406759.65625,12.495058059692383,-406747.1611919403,199.61267428823106,365.95902132987976
4250,0.008499999999999999,-406757.71875,10.627951622009277,-406747.090798378,169.7850330378892,370.668559551239
4300,0.0086,-406757.25,10.566978454589844,-406746.6830215454,168.81096657495058,375.3901219367981
4350,0.0087,-406759.03125,12.234067916870117,-406746.79718208313,195.44327066299473,379.80744528770447
4400,0.008799999999999999,-406757.8125,10.69002914428711,-406747.1224708557,170.77674193398778,384.18165612220764
4450,0.0089,-406757.34375,10.002718925476074,-406747.3410310745,159.796734463268,388.5108721256256
4500,0.009,-406756.625,9.593716621398926,-406747.0312833786,153.2627877367413,392.88529920578003
4550,0.0091,-406756.625,10.049823760986328,-406746.575176239,160.5492497491666,397.32627511024475
4600,0.0092,-406756.84375,9.965587615966797,-406746.87816238403,159.2035495452338,402.4122667312622
4650,0.0093,-406758.65625,11.53720474243164,-406747.11904525757,184.31065157486265,407.38279128074646
4700,0.0094,-406760.03125,12.911125183105469,-406747.1201248169,206.25948383414385,412.38797760009766
4750,0.0095,-406759.28125,12.200803756713867,-406747.0804462433,194.91186473154406,416.80073976516724
4800,0.0096,-406757.71875,10.702169418334961,-406747.01658058167,170.97068681665314,421.28453969955444
4850,0.0097,-406759.1875,12.005876541137695,-406747.18162345886,191.79783816145255,425.69303250312805
4900,0.0098,-406758.4375,11.554964065551758,-406746.88253593445,184.59436262003106,430.1503036022186
4950,0.009899999999999999,-406758.1875,11.521092414855957,-406746.66640758514,184.05325182681622,434.62856459617615
5000,0.01,-406756.1875,9.455642700195312,-406746.7318572998,151.05701129862894,439.3634264469147
