#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Elapsed Time (s)"	"Time Remaining"
27.2%	13600	27.199999999995804	758.72265625	272.26426136303644	1.31e+03	1.7843408584594727	0:04
27.4%	13700	27.399999999995693	719.752685546875	304.28036837258685	1.31e+03	1.7967019081115723	0:04
27.6%	13800	27.599999999995582	707.2662353515625	301.2195351086762	1.31e+03	1.8109447956085205	0:04
27.8%	13900	27.79999999999547	759.011474609375	286.36072566558215	1.31e+03	1.823354959487915	0:04
28.0%	14000	27.99999999999536	672.11181640625	317.9382749960492	1.31e+03	1.83610200881958	0:04
28.2%	14100	28.19999999999525	655.610107421875	318.2103880335544	1.31e+03	1.8492457866668701	0:04
28.4%	14200	28.39999999999514	759.91259765625	260.85268461239843	1.31e+03	1.8633840084075928	0:04
28.6%	14300	28.599999999995028	653.9288940429688	297.296038950044	1.31e+03	1.8760170936584473	0:04
28.8%	14400	28.799999999994917	668.1116943359375	298.8090440310684	1.31e+03	1.889800786972046	0:04
29.0%	14500	28.999999999994806	695.918701171875	295.1006330419535	1.31e+03	1.903735876083374	0:04
29.2%	14600	29.199999999994695	657.39208984375	328.28551240490344	1.31e+03	1.9180479049682617	0:04
29.4%	14700	29.399999999994584	668.52099609375	333.1333087861475	1.31e+03	1.9304440021514893	0:04
29.6%	14800	29.599999999994473	767.0675659179688	280.2729818646268	1.31e+03	1.9429478645324707	0:04
29.8%	14900	29.799999999994363	728.71142578125	289.5769869334689	1.31e+03	1.9568159580230713	0:04
30.0%	15000	29.99999999999425	663.5172729492188	283.01365637623314	1.31e+03	1.9694688320159912	0:04
30.2%	15100	30.19999999999414	674.0794677734375	294.0980152716711	1.31e+03	1.9838578701019287	0:04
30.4%	15200	30.39999999999403	640.6646118164062	309.0012602923475	1.31e+03	1.9980649948120117	0:04
30.6%	15300	30.59999999999392	714.3785400390625	268.0782488503508	1.31e+03	2.0107948780059814	0:04
30.8%	15400	30.79999999999381	712.8793334960938	316.9394336020983	1.31e+03	2.024972915649414	0:04
31.0%	15500	30.999999999993697	725.5449829101562	255.53427710121386	1.31e+03	2.038722038269043	0:04
31.2%	15600	31.199999999993587	698.87548828125	300.30027250240215	1.3e+03	2.0528390407562256	0:04
31.4%	15700	31.399999999993476	721.5039672851562	297.85440446111824	1.31e+03	2.0654349327087402	0:04
31.6%	15800	31.599999999993365	685.7449951171875	269.641667152175	1.31e+03	2.078032970428467	0:04
31.8%	15900	31.799999999993254	698.422607421875	282.014529041258	1.31e+03	2.0921740531921387	0:04
32.0%	16000	31.999999999993143	619.5817260742188	302.932998822671	1.31e+03	2.104700803756714	0:04
32.2%	16100	32.19999999999339	692.7599487304688	276.7789457923446	1.31e+03	2.1179471015930176	0:04
32.4%	16200	32.39999999999363	666.3594970703125	300.1702023594095	1.31e+03	2.1302108764648438	0:04
32.6%	16300	32.59999999999388	675.1405639648438	269.5446973157593	1.31e+03	2.1428520679473877	0:04
32.8%	16400	32.79999999999412	672.38525390625	309.8171060297227	1.31e+03	2.1566948890686035	0:04
33.0%	16500	32.999999999994365	700.4561767578125	293.056605533395	1.31e+03	2.1708121299743652	0:04
