#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Elapsed Time (s)"	"Time Remaining"
45.2%	22600	45.200000000009275	435.1585998535156	312.46401919283005	1.29e+03	3.0205211639404297	0:03
45.4%	22700	45.40000000000952	413.8370666503906	296.57980611433226	1.29e+03	3.0337462425231934	0:03
45.6%	22800	45.600000000009764	362.13616943359375	312.67854999942494	1.29e+03	3.047389268875122	0:03
45.8%	22900	45.80000000001001	381.1767883300781	275.92948844144894	1.29e+03	3.0606398582458496	0:03
46.0%	23000	46.00000000001025	375.4816589355469	290.6622530432428	1.29e+03	3.074345111846924	0:03
46.2%	23100	46.2000000000105	352.167236328125	307.87523102992304	1.29e+03	3.0883500576019287	0:03
46.4%	23200	46.40000000001074	410.6466064453125	272.3742529378743	1.29e+03	3.100738048553467	0:03
46.6%	23300	46.600000000010986	386.064697265625	256.60489717839494	1.29e+03	3.11401104927063	0:03
46.8%	23400	46.80000000001123	372.8127136230469	252.05418231906202	1.29e+03	3.1275131702423096	0:03
47.0%	23500	47.000000000011475	356.3274841308594	273.2387434350942	1.29e+03	3.14132022857666	0:03
47.2%	23600	47.20000000001172	402.36688232421875	275.973759874253	1.29e+03	3.155529260635376	0:03
47.4%	23700	47.400000000011964	302.52142333984375	323.91912956854725	1.29e+03	3.169642925262451	0:03
47.6%	23800	47.60000000001221	349.4101867675781	268.9738788522504	1.29e+03	3.183516025543213	0:03
47.8%	23900	47.80000000001245	364.5480041503906	273.2654081010414	1.29e+03	3.1960880756378174	0:03
48.0%	24000	48.0000000000127	322.5621337890625	311.77229679154476	1.29e+03	3.208489179611206	0:03
48.2%	24100	48.20000000001294	404.333984375	285.01933682301126	1.29e+03	3.221649169921875	0:03
48.4%	24200	48.400000000013186	390.27154541015625	272.5552172178886	1.29e+03	3.2342100143432617	0:03
48.6%	24300	48.60000000001343	321.0860595703125	306.40650880499817	1.29e+03	3.246812105178833	0:03
48.8%	24400	48.800000000013675	359.35369873046875	265.2844818628792	1.29e+03	3.2592720985412598	0:03
49.0%	24500	49.00000000001392	380.70361328125	267.90645346974486	1.29e+03	3.2718751430511475	0:03
49.2%	24600	49.200000000014164	363.65167236328125	280.02892864237697	1.29e+03	3.2856640815734863	0:03
49.4%	24700	49.40000000001441	328.29071044921875	269.11388124315926	1.29e+03	3.2997400760650635	0:03
49.6%	24800	49.60000000001465	422.91729736328125	261.6862253175203	1.29e+03	3.3117868900299072	0:03
49.8%	24900	49.8000000000149	317.1855773925781	292.15911079198713	1.29e+03	3.324068069458008	0:03
50.0%	25000	50.00000000001514	373.3666687011719	271.6332219875726	1.29e+03	3.338001012802124	0:03
50.2%	25100	50.200000000015386	338.7968444824219	292.50294953677184	1.29e+03	3.3525092601776123	0:03
50.4%	25200	50.40000000001563	347.3563537597656	313.34164478890995	1.29e+03	3.366518020629883	0:03
50.6%	25300	50.600000000015875	392.3240966796875	312.4863379226888	1.29e+03	3.3788599967956543	0:03
50.8%	25400	50.80000000001612	457.73321533203125	306.9585583380496	1.29e+03	3.391348123550415	0:03
51.0%	25500	51.000000000016364	418.4216003417969	309.0431039515888	1.29e+03	3.4052700996398926	0:03
51.2%	25600	51.20000000001661	400.3041076660156	296.15428989275915	1.29e+03	3.4178919792175293	0:03
51.4%	25700	51.40000000001685	406.36090087890625	281.4068890427503	1.29e+03	3.4322431087493896	0:03
51.6%	25800	51.6000000000171	407.871337890625	273.96420726632897	1.29e+03	3.4448628425598145	0:03
51.8%	25900	51.80000000001734	369.1216735839844	274.7171817103258	1.29e+03	3.4574451446533203	0:03
52.0%	26000	52.000000000017586	425.02069091796875	270.1476365102508	1.29e+03	3.4698421955108643	0:03
52.2%	26100	52.20000000001783	361.7892761230469	301.7220821747531	1.29e+03	3.4839348793029785	0:03
52.4%	26200	52.400000000018075	360.4442138671875	320.7130009740599	1.29e+03	3.495820999145508	0:03
52.6%	26300	52.60000000001832	380.7518310546875	293.21339527751917	1.29e+03	3.5088438987731934	0:03
52.8%	26400	52.800000000018564	370.46099853515625	306.82530887948195	1.29e+03	3.5221900939941406	0:03
53.0%	26500	53.00000000001881	403.5118103027344	309.02210188378143	1.29e+03	3.535041093826294	0:03
