#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Elapsed Time (s)"	"Time Remaining"
37.0%	18500	36.999999999999254	-357.3138286108343	282.75204013836793	428	7.432776927947998	0:12
37.2%	18600	37.1999999999995	-379.16887011474057	319.3883700836216	428	7.471958875656128	0:12
37.4%	18700	37.39999999999974	-358.4741069311468	224.674636639138	428	7.507617950439453	0:12
37.6%	18800	37.59999999999999	-386.02858080809995	290.13103155913444	428	7.545248985290527	0:12
37.8%	18900	37.80000000000023	-389.4663859838812	265.44549868933206	428	7.583539962768555	0:12
38.0%	19000	38.000000000000476	-380.0329448217718	328.4800437411659	428	7.622246026992798	0:12
38.2%	19100	38.20000000000072	-374.95204272216245	278.7286238757267	428	7.665228843688965	0:12
38.4%	19200	38.400000000000965	-380.0096293920843	354.9213492556402	428	7.703150033950806	0:12
38.6%	19300	38.60000000000121	-388.20353808349057	334.4253390917301	429	7.7409508228302	0:12
38.8%	19400	38.800000000001454	-374.9757853979437	237.9436865018061	429	7.7770819664001465	0:12
39.0%	19500	39.0000000000017	-367.96049609130307	249.00950295960928	429	7.816479921340942	0:12
39.2%	19600	39.20000000000194	-370.0791789526312	251.34397613816506	429	7.853473901748657	0:12
39.4%	19700	39.40000000000219	-380.48890795653745	267.5639289408187	429	7.8905909061431885	0:12
39.6%	19800	39.60000000000243	-368.6386577123968	230.04768372615666	429	7.926856756210327	0:12
39.8%	19900	39.800000000002676	-377.5262309545843	235.80172327504323	430	7.962594032287598	0:12
40.0%	20000	40.00000000000292	-387.1917277807562	271.6835798901844	430	7.99990701675415	0:12
40.2%	20100	40.200000000003165	-387.0973674291937	279.59264115629713	430	8.03986406326294	0:12
40.4%	20200	40.40000000000341	-374.3903361791937	226.382185782601	430	8.079531908035278	0:11
40.6%	20300	40.600000000003654	-395.0489360327093	177.12333366615692	430	8.122363090515137	0:11
40.8%	20400	40.8000000000039	-394.9837199682562	213.07677479640915	430	8.164665937423706	0:11
