#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Elapsed Time (s)"	"Time Remaining"
48.8%	24400	48.800000000013675	-8607.0380859375	302.32340774843834	336	12.490686178207397	0:13
49.0%	24500	49.00000000001392	-8566.06640625	301.5134394102185	336	12.540863990783691	0:13
49.2%	24600	49.200000000014164	-8788.63671875	307.90210840767617	336	12.590472936630249	0:13
49.4%	24700	49.40000000001441	-8651.59765625	299.22815628125664	336	12.642369985580444	0:13
49.6%	24800	49.60000000001465	-8783.8310546875	292.38468417176597	336	12.693669080734253	0:12
49.8%	24900	49.8000000000149	-8983.177734375	310.55325484917716	336	12.744092226028442	0:12
50.0%	25000	50.00000000001514	-8662.4677734375	303.3603984521007	336	12.795973062515259	0:12
50.2%	25100	50.200000000015386	-9196.892578125	300.37697964183485	336	12.846546173095703	0:12
50.4%	25200	50.40000000001563	-9010.365234375	298.92049957330914	336	12.898211002349854	0:12
50.6%	25300	50.600000000015875	-8547.0234375	290.54299082762077	336	12.949990272521973	0:12
50.8%	25400	50.80000000001612	-8697.1806640625	300.88577778444744	336	13.001291990280151	0:12
51.0%	25500	51.000000000016364	-8747.5361328125	296.0008734412312	336	13.051361083984375	0:12
51.2%	25600	51.20000000001661	-8912.5625	305.9731612118587	336	13.10328221321106	0:12
51.4%	25700	51.40000000001685	-8889.95703125	303.92766245804455	336	13.153395891189575	0:12
51.6%	25800	51.6000000000171	-9035.5771484375	309.44764714037706	336	13.203451156616211	0:12
51.8%	25900	51.80000000001734	-8901.640625	304.99721295712743	336	13.253573179244995	0:12
52.0%	26000	52.000000000017586	-8864.365234375	305.1312342971058	336	13.303896188735962	0:12
52.2%	26100	52.20000000001783	-8993.158203125	303.83979000820915	336	13.354536294937134	0:12
52.4%	26200	52.400000000018075	-8849.4814453125	302.5316558663024	336	13.406724214553833	0:12
52.6%	26300	52.60000000001832	-8995.0498046875	309.71209376618344	336	13.45717191696167	0:12
52.8%	26400	52.800000000018564	-8755.0556640625	304.5963797497935	336	13.5088529586792	0:12
53.0%	26500	53.00000000001881	-8846.755859375	306.6871702743845	336	13.560317277908325	0:12
53.2%	26600	53.20000000001905	-8881.9833984375	307.04385236860315	336	13.610414028167725	0:12
53.4%	26700	53.4000000000193	-8644.330078125	300.34084296804645	336	13.660866022109985	0:11
53.6%	26800	53.60000000001954	-8776.51953125	296.6026582927184	336	13.712993144989014	0:11
53.8%	26900	53.800000000019786	-8862.5185546875	294.2194694018343	336	13.763238191604614	0:11
54.0%	27000	54.00000000002003	-8806.091796875	297.99638235188667	337	13.813534021377563	0:11
54.2%	27100	54.200000000020275	-8812.4267578125	303.61156320436675	337	13.863935947418213	0:11
54.4%	27200	54.40000000002052	-8979.5390625	307.43886722640093	337	13.91438627243042	0:11
54.6%	27300	54.60000000002076	-8862.8759765625	307.48771386477875	337	13.966427087783813	0:11
54.8%	27400	54.80000000002101	-8839.451171875	304.4919541516672	337	14.016541957855225	0:11
55.0%	27500	55.00000000002125	-8835.904296875	303.7277668764396	337	14.06674313545227	0:11
55.2%	27600	55.2000000000215	-9007.08203125	316.36952188721864	337	14.118252038955688	0:11
55.4%	27700	55.40000000002174	-8845.5625	306.5278143158505	337	14.169843196868896	0:11
55.6%	27800	55.600000000021986	-8743.103515625	307.88126129349007	337	14.221573114395142	0:11
55.8%	27900	55.80000000002223	-8636.830078125	304.5388964806009	337	14.271672010421753	0:11
56.0%	28000	56.000000000022474	-8867.490234375	305.57080105652904	337	14.322119235992432	0:11
56.2%	28100	56.20000000002272	-9001.3984375	310.68010053999495	337	14.37444519996643	0:11
56.4%	28200	56.40000000002296	-8952.3046875	307.6869383773653	337	14.424374103546143	0:11
56.6%	28300	56.60000000002321	-8817.578125	304.3572419262045	336	14.516752243041992	0:11
56.8%	28400	56.80000000002345	-8971.865234375	298.9311756128302	336	14.566843271255493	0:11
57.0%	28500	57.0000000000237	-8986.6484375	299.59804301093874	336	14.618812084197998	0:11
57.2%	28600	57.20000000002394	-9084.087890625	305.8053447035261	336	14.66905426979065	0:11
57.4%	28700	57.400000000024185	-8894.298828125	299.2664537939802	336	14.719576120376587	0:10
57.6%	28800	57.60000000002443	-8701.470703125	295.5261272106603	336	14.771209955215454	0:10
57.8%	28900	57.800000000024674	-8991.958984375	298.53767828133056	336	14.821526050567627	0:10
58.0%	29000	58.00000000002492	-8948.068359375	300.00770391612366	336	14.87140703201294	0:10
58.2%	29100	58.20000000002516	-9029.919921875	297.78267719259276	336	14.921603202819824	0:10
58.4%	29200	58.40000000002541	-8917.5751953125	302.0335708075374	336	14.985092163085938	0:10
58.6%	29300	58.60000000002565	-8821.56640625	301.2912004863065	336	15.03643012046814	0:10
